number,code,url-name,filename,emoji,emoji-symbol,link,title,front-matter
1060,u+1f9f8,teddy-bear,1060-teddy-bear.md,teddy_bear,🧸,permalink: 🧸.html,teddy bear,"---
layout: activities
title: teddy bear
emoji: teddy_bear
permalink: 🧸.html
---"
1061,u+1fa85,pinata,1061-pinata.md,pinata,🪅,permalink: 🪅.html,piñata,"---
layout: activities
title: piñata
emoji: pinata
permalink: 🪅.html
---"
1062,u+1fa86,nesting-dolls,1062-nesting-dolls.md,nesting_dolls,🪆,permalink: 🪆.html,nesting dolls,"---
layout: activities
title: nesting dolls
emoji: nesting_dolls
permalink: 🪆.html
---"
1063,u+2660,spade-suit,1063-spade-suit.md,spade_suit,♠,permalink: ♠.html,spade suit,"---
layout: activities
title: spade suit
emoji: spade_suit
permalink: ♠.html
---"
1064,u+2665,heart-suit,1064-heart-suit.md,heart_suit,♥,permalink: ♥.html,heart suit,"---
layout: activities
title: heart suit
emoji: heart_suit
permalink: ♥.html
---"
1065,u+2666,diamond-suit,1065-diamond-suit.md,diamond_suit,♦,permalink: ♦.html,diamond suit,"---
layout: activities
title: diamond suit
emoji: diamond_suit
permalink: ♦.html
---"
1066,u+2663,club-suit,1066-club-suit.md,club_suit,♣,permalink: ♣.html,club suit,"---
layout: activities
title: club suit
emoji: club_suit
permalink: ♣.html
---"
1067,u+265f,chess-pawn,1067-chess-pawn.md,chess_pawn,♟,permalink: ♟.html,chess pawn,"---
layout: activities
title: chess pawn
emoji: chess_pawn
permalink: ♟.html
---"
1068,u+1f0cf,joker,1068-joker.md,joker,🃏,permalink: 🃏.html,joker,"---
layout: activities
title: joker
emoji: joker
permalink: 🃏.html
---"
1069,u+1f004,mahjong-red-dragon,1069-mahjong-red-dragon.md,mahjong_red_dragon,🀄,permalink: 🀄.html,mahjong red dragon,"---
layout: activities
title: mahjong red dragon
emoji: mahjong_red_dragon
permalink: 🀄.html
---"
1070,u+1f3b4,flower-playing-cards,1070-flower-playing-cards.md,flower_playing_cards,🎴,permalink: 🎴.html,flower playing cards,"---
layout: activities
title: flower playing cards
emoji: flower_playing_cards
permalink: 🎴.html
---"
1071,u+1f3ad,performing-arts,1071-performing-arts.md,performing_arts,🎭,permalink: 🎭.html,performing arts,"---
layout: activities
title: performing arts
emoji: performing_arts
permalink: 🎭.html
---"
1072,u+1f5bc,framed-picture,1072-framed-picture.md,framed_picture,🖼,permalink: 🖼.html,framed picture,"---
layout: activities
title: framed picture
emoji: framed_picture
permalink: 🖼.html
---"
1073,u+1f3a8,artist-palette,1073-artist-palette.md,artist_palette,🎨,permalink: 🎨.html,artist palette,"---
layout: activities
title: artist palette
emoji: artist_palette
permalink: 🎨.html
---"
1074,u+1f9f5,thread,1074-thread.md,thread,🧵,permalink: 🧵.html,thread,"---
layout: activities
title: thread
emoji: thread
permalink: 🧵.html
---"
1075,u+1faa1,sewing-needle,1075-sewing-needle.md,sewing_needle,🪡,permalink: 🪡.html,sewing needle,"---
layout: activities
title: sewing needle
emoji: sewing_needle
permalink: 🪡.html
---"
