number,code,emoji,emoji-symbol,title
0319,u+1f575-u+fe0f-u+200d-u+2640-u+fe0f,woman_detective,🕵️‍♀️,woman detective
0320,u+1f482,guard,💂,guard
0321,u+1f482-u+200d-u+2642-u+fe0f,man_guard,💂‍♂️,man guard
0322,u+1f482-u+200d-u+2640-u+fe0f,woman_guard,💂‍♀️,woman guard
0323,u+1f977,ninja,🥷,ninja
0324,u+1f477,construction_worker,👷,construction worker
0325,u+1f477-u+200d-u+2642-u+fe0f,man_construction_worker,👷‍♂️,man construction worker
0326,u+1f477-u+200d-u+2640-u+fe0f,woman_construction_worker,👷‍♀️,woman construction worker
0327,u+1f934,prince,🤴,prince
0328,u+1f478,princess,👸,princess
0329,u+1f473,person_wearing_turban,👳,person wearing turban
0330,u+1f473-u+200d-u+2642-u+fe0f,man_wearing_turban,👳‍♂️,man wearing turban
0331,u+1f473-u+200d-u+2640-u+fe0f,woman_wearing_turban,👳‍♀️,woman wearing turban
0332,u+1f472,person_with_skullcap,👲,person with skullcap
0333,u+1f9d5,woman_with_headscarf,🧕,woman with headscarf
0334,u+1f935,person_in_tuxedo,🤵,person in tuxedo
0335,u+1f935-u+200d-u+2642-u+fe0f,man_in_tuxedo,🤵‍♂️,man in tuxedo
0336,u+1f935-u+200d-u+2640-u+fe0f,woman_in_tuxedo,🤵‍♀️,woman in tuxedo
0337,u+1f470,person_with_veil,👰,person with veil
0338,u+1f470-u+200d-u+2642-u+fe0f,man_with_veil,👰‍♂️,man with veil
0339,u+1f470-u+200d-u+2640-u+fe0f,woman_with_veil,👰‍♀️,woman with veil
0340,u+1f930,pregnant_woman,🤰,pregnant woman
0341,u+1f931,breast_feeding,🤱,breast-feeding
0342,u+1f469-u+200d-u+1f37c,woman_feeding_baby,👩‍🍼,woman feeding baby
0343,u+1f468-u+200d-u+1f37c,man_feeding_baby,👨‍🍼,man feeding baby
0344,u+1f9d1-u+200d-u+1f37c,person_feeding_baby,🧑‍🍼,person feeding baby
0345,u+1f47c,baby_angel,👼,baby angel
0346,u+1f385,santa_claus,🎅,Santa Claus
0347,u+1f936,mrs_claus,🤶,Mrs. Claus
0348,u+1f9d1-u+200d-u+1f384,mx_claus,🧑‍🎄,mx claus
0349,u+1f9b8,superhero,🦸,superhero
0350,u+1f9b8-u+200d-u+2642-u+fe0f,man_superhero,🦸‍♂️,man superhero
0351,u+1f9b8-u+200d-u+2640-u+fe0f,woman_superhero,🦸‍♀️,woman superhero
0352,u+1f9b9,supervillain,🦹,supervillain
0353,u+1f9b9-u+200d-u+2642-u+fe0f,man_supervillain,🦹‍♂️,man supervillain
0354,u+1f9b9-u+200d-u+2640-u+fe0f,woman_supervillain,🦹‍♀️,woman supervillain
0355,u+1f9d9,mage,🧙,mage
0356,u+1f9d9-u+200d-u+2642-u+fe0f,man_mage,🧙‍♂️,man mage
0357,u+1f9d9-u+200d-u+2640-u+fe0f,woman_mage,🧙‍♀️,woman mage
0358,u+1f9da,fairy,🧚,fairy
0359,u+1f9da-u+200d-u+2642-u+fe0f,man_fairy,🧚‍♂️,man fairy
0360,u+1f9da-u+200d-u+2640-u+fe0f,woman_fairy,🧚‍♀️,woman fairy
0361,u+1f9db,vampire,🧛,vampire
